"filename", "language", "Python", "comment", "blank", "total"
"c:\Users\Edwin Arevalo\Desktop\Tesis UNAL Geotecnia\2 Software\MPM-UN\clases\Modelo\model_ItemLine.py", "Python", -66, -7, -41, -114
"c:\Users\Edwin Arevalo\Desktop\Tesis UNAL Geotecnia\2 Software\MPM-UN\clases\Modelo\model_ItemPoint.py", "Python", -62, -7, -40, -109
"c:\Users\Edwin Arevalo\Desktop\Tesis UNAL Geotecnia\2 Software\MPM-UN\clases\Modelo\model_MaterialPoint.py", "Python", -58, -8, -21, -87
"c:\Users\Edwin Arevalo\Desktop\Tesis UNAL Geotecnia\2 Software\MPM-UN\clases\Modelo\model_Mesh.py", "Python", -86, -12, -39, -137
"c:\Users\Edwin Arevalo\Desktop\Tesis UNAL Geotecnia\2 Software\MPM-UN\clases\Modelo\model_ProjectCurrent.py", "Python", -948, -85, -390, -1423
"c:\Users\Edwin Arevalo\Desktop\Tesis UNAL Geotecnia\2 Software\MPM-UN\clases\Modelo\model_ProjectCurrentRepository.py", "Python", -276, -194, -77, -547
"c:\Users\Edwin Arevalo\Desktop\Tesis UNAL Geotecnia\2 Software\MPM-UN\clases\Modelo\model_Projects.py", "Python", -351, -329, -139, -819
"c:\Users\Edwin Arevalo\Desktop\Tesis UNAL Geotecnia\2 Software\MPM-UN\clases\Modelo\model_SettingApp.py", "Python", -40, -22, -18, -80
"c:\Users\Edwin Arevalo\Desktop\Tesis UNAL Geotecnia\2 Software\MPM-UN\clases\Vista\view_GraphicsDraw.py", "Python", 1504, 335, 506, 2345
"c:\Users\Edwin Arevalo\Desktop\Tesis UNAL Geotecnia\2 Software\MPM-UN\clases\Vista\view_MainWindow.py", "Python", 290, 111, 147, 548
"c:\Users\Edwin Arevalo\Desktop\Tesis UNAL Geotecnia\2 Software\MPM-UN\clases\Vista\view_MainWindow_copy.py", "Python", 54, 27, 61, 142
"c:\Users\Edwin Arevalo\Desktop\Tesis UNAL Geotecnia\2 Software\MPM-UN\clases\Vista\view_PageDraw.py", "Python", 233, 132, 132, 497
"c:\Users\Edwin Arevalo\Desktop\Tesis UNAL Geotecnia\2 Software\MPM-UN\clases\Vista\view_PageHome.py", "Python", 59, 50, 29, 138
"c:\Users\Edwin Arevalo\Desktop\Tesis UNAL Geotecnia\2 Software\MPM-UN\clases\Vista\view_PageSetting.py", "Python", 127, 37, 64, 228
"c:\Users\Edwin Arevalo\Desktop\Tesis UNAL Geotecnia\2 Software\MPM-UN\clases\Vista\view_SplashScreen.py", "Python", 37, 23, 15, 75
"c:\Users\Edwin Arevalo\Desktop\Tesis UNAL Geotecnia\2 Software\MPM-UN\clases\Vista\view_WidgetCardMaterialPoint.py", "Python", 124, 37, 64, 225
"c:\Users\Edwin Arevalo\Desktop\Tesis UNAL Geotecnia\2 Software\MPM-UN\clases\Vista\view_WidgetCardMesh.py", "Python", 127, 38, 61, 226
"c:\Users\Edwin Arevalo\Desktop\Tesis UNAL Geotecnia\2 Software\MPM-UN\clases\Vista\view_WidgetCardProject.py", "Python", 31, 66, 21, 118
"c:\Users\Edwin Arevalo\Desktop\Tesis UNAL Geotecnia\2 Software\MPM-UN\clases\Vista\view_WidgetDrawMenuBoundary.py", "Python", 22, 8, 10, 40
"c:\Users\Edwin Arevalo\Desktop\Tesis UNAL Geotecnia\2 Software\MPM-UN\clases\Vista\view_WidgetDrawMenuData.py", "Python", 157, 52, 48, 257
"c:\Users\Edwin Arevalo\Desktop\Tesis UNAL Geotecnia\2 Software\MPM-UN\clases\Vista\view_WidgetDrawMenuMesh.py", "Python", 157, 52, 55, 264
"c:\Users\Edwin Arevalo\Desktop\Tesis UNAL Geotecnia\2 Software\MPM-UN\clases\Vista\view_WidgetDrawMenuPointMaterial.py", "Python", 170, 23, 49, 242
"Total", "-", 1205, 327, 497, 2029
