"filename", "language", "Python", "comment", "blank", "total"
"c:\Users\Edwin Arevalo\Desktop\Tesis UNAL Geotecnia\2 Software\MPM-UN\clases\Controlador\controller_CardMaterialPoint.py", "Python", 34, 7, 17, 58
"c:\Users\Edwin Arevalo\Desktop\Tesis UNAL Geotecnia\2 Software\MPM-UN\clases\Controlador\controller_CardMesh.py", "Python", 34, 4, 20, 58
"c:\Users\Edwin Arevalo\Desktop\Tesis UNAL Geotecnia\2 Software\MPM-UN\clases\Controlador\controller_CardProject.py", "Python", 14, 0, 10, 24
"c:\Users\Edwin Arevalo\Desktop\Tesis UNAL Geotecnia\2 Software\MPM-UN\clases\Controlador\controller_MainWindow.py", "Python", 230, 52, 108, 390
"c:\Users\Edwin Arevalo\Desktop\Tesis UNAL Geotecnia\2 Software\MPM-UN\clases\Controlador\controller_MenuBoundary.py", "Python", 6, 1, 10, 17
"c:\Users\Edwin Arevalo\Desktop\Tesis UNAL Geotecnia\2 Software\MPM-UN\clases\Controlador\controller_MenuData.py", "Python", 60, 8, 30, 98
"c:\Users\Edwin Arevalo\Desktop\Tesis UNAL Geotecnia\2 Software\MPM-UN\clases\Controlador\controller_MenuMesh.py", "Python", 197, 19, 88, 304
"c:\Users\Edwin Arevalo\Desktop\Tesis UNAL Geotecnia\2 Software\MPM-UN\clases\Controlador\controller_MenuPointMaterial.py", "Python", 115, 19, 70, 204
"c:\Users\Edwin Arevalo\Desktop\Tesis UNAL Geotecnia\2 Software\MPM-UN\clases\Controlador\controller_PageDraw.py", "Python", 386, 88, 204, 678
"c:\Users\Edwin Arevalo\Desktop\Tesis UNAL Geotecnia\2 Software\MPM-UN\clases\Controlador\controller_PageHome.py", "Python", 35, 3, 26, 64
"c:\Users\Edwin Arevalo\Desktop\Tesis UNAL Geotecnia\2 Software\MPM-UN\clases\Controlador\controller_PageSetting.py", "Python", 35, 14, 38, 87
"c:\Users\Edwin Arevalo\Desktop\Tesis UNAL Geotecnia\2 Software\MPM-UN\clases\Controlador\controller_graphicsDraw.py", "Python", 720, 164, 293, 1177
"Total", "-", 1866, 379, 914, 3159
